patch,Faustus,Ritual,Ultimatum,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25,All samples
Pride of the First Ones,500,Boss,1,67,116,69,85,48,81,0,0,
The Craving,500,,1,124,290,61,20,71,129,65,97,
The Garish Power,500,,1,4456,4510,69,116,64,99,79,63,
A Fate Worse Than Death,525,1,1,73,65,78,57,87,88,69,57,
Audacity,525,1,1,350,98,86,57,58,69,69,63,
The Enlightened,525,1,1,73,51,64,26,67,78,87,78,
The Samurai's Eye,525,Boss,1,65,58,80,106,58,81,0,0,
Temperance,525,,1,0,0,0,0,0,0,0,78,
Poisoned Faith,550,1,1,0,0,0,26,63,53,71,40,
Seven Years Bad Luck,550,1,1,67,37,64,116,82,71,55,61,
The Wedding Gift,550,1,1,0,0,59,57,50,81,61,42,
Friendship,550,,1,0,0,0,0,0,0,0,0,
The Long Watch,550,,1,1301,1256,0,0,0,0,0,42,
Eldritch Perfection,575,Boss,1,0,0,0,0,0,32,0,0,
Luminous Trove,575,Boss,1,67,31,54,57,67,81,0,0,
The Life Thief,575,Boss,1,51,58,33,26,63,43,0,0,
The Rabbit's Foot,575,Boss,1,69,31,38,66,43,74,0,0,
Magnum Opus,575,,1,51,65,56,66,51,60,43,36,
The Eye of the Dragon,575,,1,5184,3383,38,33,57,71,45,49,
Brother's Stash,600,1,0,51,20,59,57,50,35,48,38,
The Long Con,600,Boss,0,38,73,35,20,48,51,0,0,
Winter's Embrace,600,Boss,1,50,44,31,33,38,35,0,0,
Brother's Gift,600,,0,0,0,0,26,50,41,37,53,
Draped in Dreams,625,1,0,41,31,33,49,34,35,30,59,
Silence and Frost,625,Boss,0,336,277,362,41,55,41,0,0,
Imperfect Memories,650,1,0,48,51,33,41,22,47,37,28,
Dying Light,650,Boss,0,35,20,18,41,33,37,0,0,
Remembrance,650,Boss,0,34,37,31,57,44,41,0,0,
The Gulf,650,Boss,0,39,20,40,33,46,19,0,0,
The Sacrifice,650,Boss,0,38,25,51,49,34,16,0,0,
Broken Promises,650,,0,30,15,25,49,30,32,23,30,
Perfection,650,,0,47,7,56,41,38,35,41,30,
The Hale Heart,650,,0,46,37,25,49,25,51,30,36,
The White Knight,650,,0,41,31,21,14,35,32,33,35,
The Artist,675,1,0,34,51,33,33,25,23,33,33,
The Dragon's Heart,675,1,0,32,25,40,49,19,34,40,26,
Wealth and Power,675,,0,23,11,25,14,29,47,30,30,
The Celestial Stone,700,1,0,42,37,31,41,32,23,32,35,
Etched in Blood,700,,0,18,31,16,20,46,20,26,33,
The Strategist,700,,0,51,25,13,66,33,14,27,30,
The Tumbleweed,725,1,0,28,58,25,26,28,28,32,22,
Deadly Joy,725,Boss,0,27,15,18,14,24,25,0,0,
The Progeny of Lunaris,725,Boss,0,28,25,16,14,19,25,0,0,
Altered Perception,725,,0,23,15,38,49,35,22,22,30,
Eternal Bonds,725,,0,24,25,31,66,26,27,32,25,
Darker Half,750,,0,19,44,29,49,30,23,32,30,
Succor of the Sinless,775,Boss,0,25,31,29,20,27,20,0,0,
The Damned,775,Boss,0,21,25,23,33,21,25,0,0,
The Emptiness,775,Boss,0,151,25,54,9,32,14,0,0,
The Leviathan,775,Boss,0,0,7,42,26,24,27,0,0,
Desecrated Virtue,775,,0,26,37,18,41,26,30,16,26,
I See Brothers,775,,0,0,0,0,0,0,25,14,22,
Prometheus' Armoury,800,Boss,0,17,11,31,26,26,35,0,0,
The Hive of Knowledge,800,,0,8,11,27,14,19,9,22,26,
Beauty Through Death,825,Boss,0,19,15,15,20,20,17,0,0,
The Fishmonger,825,,0,26,11,21,14,14,7,17,15,
The Immortal,825,,0,19,31,23,20,15,16,27,21,
The Undisputed,825,,0,21,31,23,9,18,13,17,21,
Further Invention,850,Boss,0,11,11,2,5,27,10,0,0,
The Last One Standing,850,Boss,0,1099,838,10,41,15,17,0,0,
Void of the Elements,875,1,0,15,7,21,20,13,7,35,22,
The Soul,900,,0,355,302,18,41,11,9,23,10,
The Awakened,925,1,0,10,1,10,9,12,22,10,5,
The Doctor,925,1,0,28,11,16,20,15,14,11,16,
Fire Of Unknown Origin,925,Boss,0,0,0,0,0,16,14,0,0,
The Destination,925,Boss,0,15,15,13,20,13,19,0,0,
The Endless Darkness,925,Boss,0,138,73,110,5,8,10,0,0,
The World Eater,925,Boss,0,30,20,11,1,10,17,0,0,
Keeper's Corruption,925,,0,16,7,16,14,5,16,13,31,
Nook's Crown,925,,0,13,1,15,20,17,7,10,14,
The Aspirant,925,,0,16,20,13,20,12,27,12,14,
The Catch,925,,0,14,20,16,33,17,22,19,16,
The Shieldbearer,925,,0,0,7,18,20,13,17,13,11,
